country,year,suicides_no,population,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Australia,2008,2341,20120312,Developed,81.3,66.0,1.0,10.76,8547.292357,94.0,65.0,62.9,1.0,92.0,8.78,92.0,0.1,49664.6854,0.7,0.6,0.921,19.1
Australia,2009,2337,20529317,Developed,81.7,66.0,1.0,10.62,7172.275229,94.0,104.0,63.4,1.0,92.0,9.5,92.0,0.1,42742.99898,0.7,0.6,0.925,19.1
Australia,2010,2420,20847547,Developed,81.9,64.0,1.0,10.52,8875.786493,92.0,70.0,63.9,1.0,92.0,9.2,92.0,0.1,51874.848,0.7,0.6,0.927,19.5
Australia,2011,2392,20881910,Developed,82.0,63.0,1.0,10.3,10986.26527,92.0,190.0,64.4,1.0,92.0,9.2,92.0,0.1,62245.129,0.6,0.6,0.927,19.8
Australia,2012,2580,21238909,Developed,82.3,61.0,1.0,10.03,11714.99858,91.0,199.0,65.0,1.0,92.0,9.36,92.0,0.1,67677.63477,0.6,0.6,0.93,20.1
Australia,2013,2608,21600180,Developed,82.5,61.0,1.0,9.87,11734.85381,91.0,158.0,65.5,1.0,91.0,9.36,91.0,0.1,67792.3386,0.6,0.6,0.933,20.3
Australia,2014,2891,21927587,Developed,82.7,6.0,1.0,9.71,10769.36305,91.0,340.0,66.1,1.0,92.0,9.42,92.0,0.1,62214.6912,0.6,0.6,0.936,20.4
Australia,2015,3027,22240785,Developed,82.8,59.0,1.0,,0.0,93.0,74.0,66.6,1.0,93.0,,93.0,0.1,56554.3876,0.6,0.6,0.937,20.4
Austria,2005,1399,7827461,Developed,79.4,85.0,0.0,12.4,5992.588029,86.0,9.0,52.7,0.0,86.0,1.53,86.0,0.1,38242.4252,1.7,1.9,0.848,14.9
Austria,2006,1297,7869269,Developed,79.8,81.0,0.0,12.4,69.92899358,83.0,23.0,53.2,0.0,83.0,1.35,83.0,0.1,443.99361,1.7,1.9,0.854,15.0
Austria,2007,1285,7897272,Developed,81.0,8.0,0.0,12.5,7453.8644,85.0,20.0,53.7,0.0,85.0,1.4,85.0,0.1,46586.6525,1.7,1.9,0.86,15.2
Austria,2008,1267,7925258,Developed,84.0,76.0,0.0,12.0,8329.731655,83.0,448.0,54.2,0.0,83.0,1.6,83.0,0.1,51386.37665,1.7,1.9,0.864,15.1
Austria,2009,1278,7946894,Developed,82.0,77.0,0.0,11.3,8053.557638,83.0,49.0,54.7,0.0,83.0,11.19,83.0,0.1,47654.18721,1.7,1.9,0.87,15.3
Austria,2010,1264,7968421,Developed,84.0,75.0,0.0,12.1,7423.228774,86.0,52.0,55.2,0.0,86.0,11.17,86.0,0.1,46657.629,1.7,1.9,0.872,15.4
Austria,2011,1288,7995146,Developed,88.0,73.0,0.0,12.04,8272.306757,89.0,68.0,55.7,0.0,89.0,1.94,89.0,0.1,51126.74139,1.7,2.0,0.88,15.7
Austria,2012,1276,8031276,Developed,88.0,7.0,0.0,12.26,7878.372355,92.0,36.0,56.1,0.0,92.0,11.17,92.0,0.1,48333.57273,1.8,2.0,0.884,15.7
Austria,2013,1291,8079615,Developed,81.1,68.0,0.0,11.82,90.58501176,95.0,0.0,56.6,0.0,95.0,11.14,95.0,0.1,554.71532,1.8,2.0,0.887,15.7
Austria,2014,1314,8141165,Developed,81.4,66.0,0.0,12.32,8350.193523,98.0,117.0,57.1,0.0,98.0,11.21,98.0,0.1,51322.63997,1.8,2.0,0.892,15.9
Austria,2015,1251,8219386,Developed,81.5,65.0,0.0,,0.0,93.0,309.0,57.6,0.0,93.0,,93.0,0.1,43665.947,1.9,2.1,0.892,15.9
Azerbaijan,2007,55,7921100,Developing,73.0,14.0,6.0,1.02,176.0107106,62.0,0.0,45.9,7.0,81.0,5.1,79.0,0.1,3851.437869,2.8,2.9,0.708,11.6
Bahamas,2005,4,301763,Developing,74.1,172.0,0.0,10.49,0.0,93.0,0.0,58.1,0.0,93.0,5.95,93.0,0.1,,2.6,2.5,0.786,12.4
Bahamas,2006,2,308499,Developing,74.2,171.0,0.0,11.07,0.0,96.0,0.0,58.7,0.0,94.0,6.93,95.0,0.1,,2.5,2.5,0.788,12.4
Bahamas,2007,5,314989,Developing,74.4,167.0,0.0,10.75,0.0,93.0,0.0,59.4,0.0,95.0,7.8,95.0,0.1,,2.5,2.5,0.79,12.5
Bahamas,2008,4,321447,Developing,74.5,167.0,0.0,10.15,0.0,9.0,0.0,6.1,0.0,93.0,7.3,93.0,0.1,,2.5,2.5,0.791,12.6
Bahamas,2009,6,327813,Developing,74.6,168.0,0.0,9.29,0.0,95.0,0.0,6.7,0.0,97.0,7.43,96.0,0.1,,2.5,2.5,0.791,12.6
Bahamas,2010,10,333869,Developing,75.0,161.0,0.0,9.19,0.0,98.0,0.0,61.3,0.0,97.0,7.44,99.0,0.2,,2.5,2.5,0.788,12.6
Bahamas,2011,4,338383,Developing,75.0,162.0,0.0,9.34,0.0,95.0,0.0,62.0,0.0,97.0,7.63,98.0,0.1,,2.5,2.5,0.788,12.6
Bahamas,2012,5,343558,Developing,74.9,167.0,0.0,9.5,0.0,96.0,0.0,62.6,0.0,99.0,7.43,98.0,0.2,,2.5,2.5,0.789,12.6
Bahamas,2013,5,348959,Developing,74.8,172.0,0.0,9.42,0.0,97.0,0.0,63.2,0.0,97.0,7.5,97.0,0.1,,2.5,2.5,0.79,12.6
Bahrain,2005,42,819540,Developing,75.3,81.0,0.0,2.05,1553.468944,98.0,4.0,56.1,0.0,98.0,3.16,98.0,0.1,17959.17854,6.1,5.9,0.806,14.0
Bahrain,2006,28,888543,Developing,75.5,79.0,0.0,2.1,170.7374027,98.0,3.0,56.8,0.0,98.0,3.8,98.0,0.1,1937.99549,6.1,5.9,0.81,14.2
Bahrain,2007,40,964770,Developing,75.6,77.0,0.0,2.0,278.3602806,97.0,7.0,57.6,0.0,97.0,3.8,97.0,0.1,2977.1153,6.1,5.9,0.813,14.4
Bahrain,2008,43,1024110,Developing,75.8,76.0,0.0,2.0,231.5478912,97.0,2.0,58.5,0.0,97.0,3.17,97.0,0.1,2367.56535,6.0,5.9,0.815,14.4
Bahrain,2009,36,1092922,Developing,76.0,74.0,0.0,1.95,332.9347646,98.0,3.0,59.3,0.0,97.0,3.79,98.0,0.1,19356.67236,6.0,5.9,0.814,14.4
Bahrain,2010,19,1139160,Developing,76.1,73.0,0.0,1.93,266.7696122,99.0,0.0,6.1,0.0,99.0,3.64,99.0,0.1,2722.1389,6.0,5.9,0.81,14.4
Bahrain,2011,18,1103462,Developing,76.1,76.0,0.0,1.66,197.7734681,99.0,0.0,6.8,0.0,99.0,3.4,99.0,0.1,2281.1242,6.1,6.0,0.812,14.4
Bahrain,2012,19,1201778,Developing,76.5,71.0,0.0,1.7,2211.215778,99.0,0.0,61.5,0.0,99.0,4.37,99.0,0.1,23649.36661,6.1,6.0,0.812,14.5
Bahrain,2013,5,1214492,Developing,76.7,7.0,0.0,1.65,3.968695982,99.0,0.0,62.2,0.0,99.0,4.69,99.0,0.1,251.18329,6.1,6.0,0.815,14.5
Bahrain,2014,9,1213966,Developing,76.8,7.0,0.0,1.57,367.2556742,98.0,46.0,62.9,0.0,98.0,4.98,98.0,0.1,24983.3792,6.1,6.0,0.82,14.5
Barbados,2005,1,255889,Developing,73.9,117.0,0.0,8.01,1311.440423,92.0,0.0,46.9,0.0,91.0,5.38,92.0,0.1,14223.86576,4.0,4.0,0.761,14.6
Barbados,2006,9,256883,Developing,74.1,115.0,0.0,8.39,181.5000856,84.0,0.0,47.7,0.0,85.0,5.27,84.0,0.1,15646.5591,4.0,3.9,0.766,14.8
Barbados,2007,0,258083,Developing,74.2,113.0,0.0,8.47,1641.30981,93.0,0.0,48.4,0.0,93.0,5.64,93.0,0.1,16462.48556,3.9,3.9,0.771,15.0
Barbados,2008,1,259414,Developing,74.4,111.0,0.0,8.95,25.52277112,85.0,0.0,49.2,0.0,85.0,6.1,85.0,0.1,1657.3228,3.9,3.9,0.775,15.3
Barbados,2009,5,260718,Developing,74.6,19.0,0.0,8.46,327.1618128,93.0,0.0,49.9,0.0,93.0,6.21,93.0,0.1,16523.32388,3.8,3.8,0.779,15.5
Barbados,2010,3,261927,Developing,74.7,16.0,0.0,8.41,154.9630863,86.0,0.0,5.7,0.0,9.0,6.17,86.0,0.1,1595.91232,3.8,3.8,0.781,15.8
Barbados,2011,0,263203,Developing,74.9,14.0,0.0,8.51,173.9825629,91.0,0.0,51.4,0.0,91.0,6.67,91.0,0.1,15534.1574,3.8,3.8,0.78,15.5
Barbados,2012,0,264270,Developing,75.1,12.0,0.0,8.61,260.0043858,87.0,0.0,52.2,0.0,88.0,7.43,87.0,0.1,15384.8749,3.8,3.8,0.785,15.3
Barbados,2013,0,265165,Developing,75.2,11.0,0.0,8.74,263.0372838,91.0,0.0,53.0,0.0,91.0,7.57,91.0,0.1,15472.7814,3.8,3.8,0.792,15.3
Belarus,2007,2659,9244456,Developing,69.8,226.0,1.0,14.22,464.077513,91.0,1.0,57.7,1.0,9.0,6.44,95.0,0.1,4735.484827,2.2,2.3,0.739,14.9
Belarus,2008,2658,9205746,Developing,70.0,224.0,1.0,14.67,501.8056141,98.0,0.0,58.2,1.0,98.0,5.95,97.0,0.1,6376.183153,2.1,2.3,0.755,15.1
Belarus,2009,2743,9169969,Developing,70.0,226.0,0.0,14.09,434.7985025,98.0,0.0,58.7,1.0,98.0,6.9,96.0,0.1,5176.172649,2.1,2.2,0.771,15.4
Belarus,2010,2459,8981193,Developing,73.0,222.0,0.0,14.44,8.49409518,96.0,1.0,59.3,1.0,99.0,5.55,98.0,0.1,63.38877,2.0,2.2,0.78,15.5
Belarus,2011,2172,8947320,Developing,72.0,232.0,0.0,17.31,846.9113071,98.0,50.0,59.9,1.0,98.0,4.92,98.0,0.1,6519.71753,2.0,2.1,0.787,15.5
Belarus,2013,1902,8910240,Developing,71.7,23.0,0.0,14.66,1109.854619,98.0,16.0,61.1,1.0,98.0,6.7,98.0,0.1,7978.825443,2.0,2.0,0.796,15.7
Belarus,2014,1741,8906977,Developing,72.0,199.0,0.0,13.94,1147.1114,97.0,64.0,61.7,0.0,97.0,5.69,97.0,0.1,8318.429294,1.9,2.0,0.796,15.7
Belgium,2005,2029,9901014,Developed,78.9,89.0,0.0,12.27,5068.214488,77.0,26.0,6.2,1.0,97.0,9.24,97.0,0.1,36967.28292,0.8,0.8,0.861,15.7
Belgium,2006,1935,9962702,Developed,79.4,85.0,0.0,10.98,5579.199083,94.0,15.0,6.6,1.0,99.0,9.17,98.0,0.1,38852.3613,0.8,0.8,0.865,15.7
Belgium,2007,1857,10030266,Developed,79.5,86.0,0.0,10.25,640.3560918,94.0,64.0,6.9,1.0,99.0,9.25,98.0,0.1,4443.83131,0.8,0.8,0.871,15.8
Belgium,2008,1999,10100850,Developed,79.5,87.0,0.0,10.47,7191.051507,98.0,98.0,61.3,1.0,99.0,9.6,99.0,0.1,48424.58927,0.8,0.8,0.874,15.8
Belgium,2009,2013,10173366,Developed,79.8,85.0,0.0,10.05,671.9376566,97.0,33.0,61.6,1.0,98.0,1.39,98.0,0.1,4488.5615,0.9,0.9,0.876,15.8
Belgium,2010,2013,10211171,Developed,80.0,81.0,0.0,10.22,665.7356115,97.0,40.0,61.9,1.0,98.0,1.17,98.0,0.1,4438.23741,0.9,0.9,0.878,15.9
Belgium,2011,2088,10355126,Developed,83.0,8.0,0.0,10.11,713.5297354,97.0,576.0,62.3,1.0,98.0,1.42,98.0,0.1,4772.77415,0.9,0.9,0.884,16.1
Belgium,2012,2026,10442637,Developed,83.0,78.0,0.0,10.08,664.4738975,98.0,109.0,62.6,1.0,99.0,1.54,99.0,0.1,4474.5717,0.9,0.9,0.886,16.2
Belgium,2013,1895,10526149,Developed,87.0,77.0,0.0,11.77,702.359357,98.0,39.0,63.0,1.0,99.0,1.57,99.0,0.1,4651.38647,1.0,0.9,0.889,16.3
Belgium,2014,1899,10578848,Developed,89.0,76.0,0.0,12.6,7163.348923,98.0,70.0,63.4,1.0,99.0,1.59,99.0,0.1,47439.39684,1.0,1.0,0.89,16.3
Belgium,2015,1867,10624356,Developed,81.1,74.0,0.0,,0.0,98.0,47.0,63.7,1.0,99.0,,99.0,0.1,4356.875,1.0,1.0,0.895,16.6
Belize,2005,12,245020,Developing,69.0,191.0,0.0,6.25,365.799896,96.0,0.0,43.8,0.0,96.0,4.45,96.0,0.8,3933.332215,3.6,3.5,0.695,12.8
Belize,2006,11,252826,Developing,69.4,184.0,0.0,6.48,387.3324928,98.0,0.0,44.4,0.0,98.0,4.4,98.0,0.6,4187.3783,3.6,3.5,0.692,12.3
Belize,2007,8,260667,Developing,69.6,181.0,0.0,7.24,69.63051047,96.0,0.0,45.0,0.0,97.0,4.76,96.0,0.6,4324.876427,3.5,3.5,0.7,12.8
Belize,2008,11,268487,Developing,69.6,181.0,0.0,7.22,51.25232422,94.0,0.0,45.7,0.0,94.0,5.9,94.0,0.1,447.22796,3.5,3.4,0.699,12.8
Belize,2009,15,276189,Developing,69.5,184.0,0.0,6.85,549.8096097,97.0,0.0,46.3,0.0,98.0,5.81,97.0,0.3,4258.788611,3.5,3.4,0.7,12.7
Belize,2010,15,283796,Developing,69.5,186.0,0.0,6.76,569.9527122,96.0,0.0,47.0,0.0,96.0,5.85,96.0,0.2,4344.15177,3.5,3.4,0.7,12.4
Belize,2011,33,291662,Developing,69.4,188.0,0.0,6.64,605.6286892,95.0,0.0,47.8,0.0,95.0,5.61,95.0,0.5,4516.24675,3.5,3.4,0.7,12.4
Belize,2012,18,298946,Developing,69.4,189.0,0.0,6.66,582.8027185,98.0,0.0,48.5,0.0,98.0,5.45,98.0,0.1,4673.63848,3.5,3.4,0.702,12.5
Belize,2013,17,305888,Developing,69.8,18.0,0.0,6.56,629.2018591,95.0,0.0,49.3,0.0,95.0,5.79,95.0,0.2,4688.538443,3.4,3.4,0.706,12.9
Belize,2014,24,312780,Developing,70.0,177.0,0.0,6.58,670.0920883,95.0,0.0,5.1,0.0,95.0,5.79,95.0,0.2,4852.223666,3.4,3.4,0.705,12.8
Belize,2015,26,319835,Developing,71.0,175.0,0.0,,0.0,94.0,0.0,5.9,0.0,94.0,,94.0,0.2,4849.997495,3.5,3.4,0.706,12.8
Bosnia and Herzegovina,2011,5,3673312,Developing,76.9,92.0,0.0,4.64,7.959131146,88.0,10.0,53.7,0.0,89.0,9.71,88.0,0.1,55.156834,2.6,2.5,0.711,13.4
Bosnia and Herzegovina,2014,313,3654169,Developing,77.2,89.0,0.0,4.03,732.8662491,89.0,3000.0,55.3,0.0,86.0,9.57,86.0,0.1,5193.94932,2.4,2.4,0.742,14.2
Brazil,2005,8529,170483960,Developing,72.7,163.0,75.0,6.97,23.76370075,98.0,6.0,47.8,85.0,99.0,8.27,99.0,0.1,477.182746,3.2,3.1,0.694,13.8
Brazil,2006,8618,172974722,Developing,73.0,161.0,70.0,7.1,30.30374691,99.0,57.0,48.6,79.0,99.0,8.36,99.0,0.1,586.145975,3.1,3.1,0.698,13.8
Brazil,2007,8855,175293192,Developing,73.3,159.0,65.0,7.19,394.9321299,99.0,0.0,49.4,73.0,99.0,8.28,99.0,0.1,7313.557962,3.1,3.0,0.7,13.5
Brazil,2008,9184,177471632,Developing,73.4,158.0,61.0,7.21,526.3780636,96.0,0.0,5.3,68.0,99.0,8.24,99.0,0.1,8787.61375,3.0,3.0,0.704,13.3
Brazil,2009,9346,179569551,Developing,73.6,157.0,57.0,7.33,564.5233902,99.0,0.0,51.1,64.0,99.0,8.65,99.0,0.1,8553.3847,3.0,2.9,0.714,13.8
Brazil,2010,9429,181629712,Developing,73.8,154.0,54.0,7.52,1111.191325,96.0,68.0,52.0,61.0,99.0,8.27,99.0,0.1,11224.1548,2.9,2.9,0.716,13.8
Brazil,2011,9822,183656441,Developing,74.1,152.0,51.0,7.58,1084.999766,98.0,43.0,52.8,57.0,98.0,8.9,99.0,0.1,13167.47289,2.9,2.8,0.724,14.0
Brazil,2012,10295,185591215,Developing,74.5,148.0,49.0,7.55,843.1946259,96.0,2.0,53.6,54.0,96.0,8.26,95.0,0.1,12291.46685,2.8,2.8,0.73,14.2
Brazil,2013,10513,187458852,Developing,74.7,146.0,46.0,7.24,916.270845,96.0,220.0,54.5,52.0,96.0,8.48,97.0,0.1,12216.9446,2.8,2.7,0.734,14.2
Brazil,2014,10631,189285554,Developing,74.8,144.0,44.0,7.32,83.16465362,96.0,876.0,55.3,49.0,96.0,8.32,93.0,0.1,1226.61731,2.7,2.7,0.747,15.2
Brazil,2015,11163,191087085,Developing,75.0,142.0,42.0,,0.0,96.0,214.0,56.1,47.0,98.0,,96.0,0.1,8757.2622,2.7,2.6,0.754,15.2
Bulgaria,2005,982,7404051,Developed,72.1,16.0,1.0,10.48,456.3404657,96.0,3.0,59.7,1.0,97.0,7.8,96.0,0.1,3893.68998,2.2,2.3,0.745,13.5
Bulgaria,2006,977,7358508,Developed,72.2,161.0,1.0,10.39,508.6304588,96.0,1.0,6.3,1.0,96.0,6.67,95.0,0.1,4513.13628,2.2,2.2,0.75,13.5
Bulgaria,2007,902,7312474,Developed,72.6,157.0,1.0,10.89,591.5100978,95.0,1.0,6.9,1.0,95.0,6.41,95.0,0.1,5932.899677,2.1,2.2,0.755,13.5
Bulgaria,2008,939,7267511,Developed,72.9,155.0,1.0,10.98,107.9826127,96.0,1.0,61.5,1.0,96.0,6.61,95.0,0.1,7296.122479,2.1,2.1,0.761,13.8
Bulgaria,2009,868,7219817,Developed,73.2,152.0,1.0,10.93,661.5144334,96.0,2249.0,62.1,1.0,94.0,6.78,94.0,0.1,6955.987733,2.0,2.1,0.768,13.8
Bulgaria,2010,859,7162740,Developed,73.4,147.0,1.0,10.8,766.4454884,95.0,22004.0,62.7,1.0,94.0,7.24,94.0,0.1,6843.263289,2.0,2.0,0.77,13.9
Bulgaria,2011,763,7056527,Developed,73.7,144.0,1.0,10.67,875.1495189,96.0,157.0,63.3,1.0,95.0,6.88,95.0,0.1,7813.83499,2.0,2.0,0.775,14.2
Bulgaria,2012,872,6959652,Developed,73.9,139.0,1.0,10.99,851.450672,95.0,1.0,63.9,1.0,95.0,7.11,95.0,0.1,7378.25539,1.9,1.9,0.778,14.3
Bulgaria,2013,721,6920644,Developed,74.1,14.0,1.0,12.06,149.659879,95.0,14.0,64.5,1.0,95.0,7.93,95.0,0.1,7674.86559,1.9,1.9,0.781,14.4
Bulgaria,2014,724,6883874,Developed,74.3,138.0,1.0,12.03,153.1400362,95.0,0.0,65.1,1.0,88.0,8.44,88.0,0.1,7853.335191,1.9,1.9,0.787,14.8
Cabo Verde,2011,42,452179,Developing,72.6,122.0,0.0,5.07,4.409153436,9.0,0.0,28.2,0.0,9.0,4.6,9.0,0.3,367.429453,7.3,7.2,0.632,13.1
Canada,2005,3743,30597090,Developing,81.0,76.0,2.0,8.0,6333.177967,14.0,6.0,61.3,2.0,93.0,9.57,93.0,0.1,36189.58838,0.5,0.4,0.886,15.8
Canada,2006,3512,30902962,Developing,85.0,75.0,2.0,8.2,771.1817686,14.0,13.0,61.9,2.0,95.0,9.75,95.0,0.1,4386.69948,0.5,0.4,0.891,15.8
Canada,2007,3611,31242631,Developing,85.0,74.0,2.0,8.3,7946.743581,14.0,101.0,62.5,2.0,9.0,9.83,94.0,0.1,44544.5268,0.5,0.4,0.894,15.8
Canada,2008,3705,31588641,Developing,87.0,74.0,2.0,8.3,8433.936814,28.0,62.0,63.0,2.0,89.0,1.3,92.0,0.1,46596.33599,0.5,0.4,0.897,15.8
Canada,2009,3890,31937357,Developing,81.0,72.0,2.0,8.4,864.94993,42.0,14.0,63.6,2.0,89.0,11.17,91.0,0.1,4773.45436,0.5,0.4,0.898,15.9
Canada,2010,3951,32286140,Developing,81.2,7.0,2.0,8.4,8649.674911,56.0,99.0,64.1,2.0,88.0,11.2,89.0,0.1,47447.4762,0.5,0.4,0.898,15.9
Canada,2011,3728,32615418,Developing,81.5,68.0,2.0,8.2,971.9280384,7.0,803.0,64.7,2.0,87.0,1.82,87.0,0.1,5282.2176,0.5,0.5,0.903,15.9
